sep=,
"Start date","End date",Country,ISO,Location,Latitude,Longitude,"Magnitude value","Magnitude scale","Disaster type","Disaster subtype","Associated disaster","Total deaths","Total affected","Total damage ('000 US$)","Disaster name","Disaster No."
30/01/2005,30/01/2005,Argentina,ARG,"Buenos Aires D.f., Buenos Aires provinces",,,90,Kph,Storm,--,--,11,252,0,,2005-0055
/03/2006,/04/2006,Argentina,ARG,"Salta, Jujuy, Formosa provinces",,,,Km2,Flood,--,"Slide (land, mud, sn",0,4500,0,,2006-0242
18/01/2007,20/03/2007,Argentina,ARG,"Tucuman, Santiago del Estero, Salta, Formosa provinces",,,518000,Km2,Flood,"Riverine flood",--,5,65000,30000,,2007-0060
20/03/2007,26/04/2007,Argentina,ARG,"Rosario district (Santa Fe province), Santa Fe City (La Capital district, Santa Fe province) Canada de Gomez city (Iriondo district, Santa Fe province), Esperanza city (Las Colonias district, Santa Fe province), Gualeguay (Entre Rios province)",-31.99,-59.12,4000,Km2,Flood,"Riverine flood",--,5,70000,10000,,2007-0135
/05/2007,/07/2007,Argentina,ARG,"Rosario district (Santa Fe province), Cordoba, San Luis, Buenos Aires, Buenos Aires D.f., Chubut, Neuquen, Rio Negro, Santa Cruz, Tierra Del Fuego, Mendoza, La Rioja provinces",,,-3.8,°C,"Extreme temperature ","Severe winter conditions",Snow/ice,9,0,0,,2007-0263
28/01/2008,30/03/2008,Argentina,ARG,"Salta city (Capital district, Salta province), General San Martin, Oran, Rivadavia districts (Salta province)",-22.92,-61.66,88120,Km2,Flood,"Riverine flood",--,0,85000,0,,2008-0053
07/05/2008,07/05/2008,Argentina,ARG,"Bariloche district (Rio Negro Province), Chubut province",-42.833,-72.65,,,"Volcanic activity","Ash fall",--,0,0,0,Chaiten,2008-0182
09/02/2009,10/02/2009,Argentina,ARG,"Tartagal town (Genaral Jose de San Martin district, Salta Province)",-24.15,-64.29,,,Landslide,Landslide,--,4,20000,15000,,2009-0041
/03/2009,/04/2009,Argentina,ARG,"Salta, Catamarca, Jujuy, Tucuman (Chaco province); Buenos Aires province, Corrientes, Jujuy, Sante Fe",,,,Vaccinated,Epidemic,"Viral disease",--,6,13366,0,Dengue,2009-0128
09/09/2009,09/09/2009,Argentina,ARG,"Santa Rosa, Tobuna, Pozo Azul cities (San Pedro district, Misiones province)",,,,Kph,Storm,"Convective storm",--,10,24,0,,2009-0356
14/11/2009,22/11/2009,Argentina,ARG,"Chaco, Corrientes, Entre Rios, Formosa, Salta, Santa Fe provinces",-32.99,-59.05,415000,Km2,Flood,"Riverine flood",--,7,30618,0,,2009-0509
28/12/2009,28/12/2009,Argentina,ARG,"San Antonio de Areco, Pergamino, Salto districts (Buenos Aires province)",,,,Km2,Flood,"Riverine flood",--,2,3510,0,,2009-0586
/01/2009,//2009,Argentina,ARG,"Río Negro, La Pampa, Córdoba, Buenos Aires, Entre Ríos, Santa Fe, Corrientes, Chaco, Formosa, Santiago del Estero provinces",,,,Km2,Drought,Drought,Wildfire,0,0,0,,2009-9055
/07/2010,/07/2010,Argentina,ARG,"Buenos Aires, Buenos Aires D.f., Catamarca, Chaco, Chubut, Cordoba, Corrientes, Entre Rios, Formosa, Jujuy, La Pampa, La Rioja, Mendoza, Misiones, Neuquen, Rio Negro, Salta, San Juan, San Luis, Santa Cruz, Santa Fe, Santiago Del Estero, Tierra Del Fuego, Tucuman provinces",,,,°C,"Extreme temperature ","Cold wave",--,42,0,0,,2010-0294
04/06/2011,17/06/2011,Argentina,ARG,"San Martin de Los Andes town (Lacar district, Neuquen province), Bariloche district (Rio Negro province), Chubut province",-40.59,-72.12,,,"Volcanic activity","Ash fall",--,0,3000,104000,"Volcano ""Puyehue""",2011-0209
04/04/2012,04/04/2012,Argentina,ARG,"Buenos Aires , Buenos Aires D.f. provinces",,,150,Kph,Storm,"Convective storm",--,18,2020,10000,,2012-0087
29/10/2012,31/10/2012,Argentina,ARG,"Buenos Aires, Buenos Aires D.f. provinces",,,110,Kph,Storm,"Convective storm",Flood,1,7510,2000,,2012-0420
20/11/2012,04/12/2012,Argentina,ARG,"Corrientes province",-27.5,-59.63,377212,Km2,Flood,"Riverine flood",--,6,10000,0,,2012-0593
01/04/2013,07/04/2013,Argentina,ARG,"Buenos Aires city (Buenos Aires D.f. province), La Plata city (La Plata district, Buenos Aires province)",-34.480,-58.68,18135.4,Km2,Flood,"Riverine flood",--,52,350000,1300000,,2013-0119
03/12/2013,03/12/2013,Argentina,ARG,"Banfield city (Lomas de Zamora district, Buenos Aires province), Chivilcoy district (Buenos Aires province).",,,,Kph,Storm,"Convective storm",--,4,12,2000,,2013-0551
25/01/2014,25/01/2014,Argentina,ARG,"El Rodeo town (Ambato district, Catamarca province)",,,,,Landslide,--,--,24,350,0,,2014-0021
01/04/2014,08/04/2014,Argentina,ARG,"Neuquen, Rio Negro, Cordoba, Santa Fe, Entre Rios, Catamarca, Santiago del Estero provinces",-38.365,-70.3,69876.78,Km2,Flood,"Riverine flood",--,0,2000,0,,2014-0139
07/06/2014,30/06/2014,Argentina,ARG,"Chaco, Formosa, Misiones, Corrientes provinces",,,,Km2,Flood,"Riverine flood",--,0,0,62000,,2014-0188
30/10/2014,04/11/2014,Argentina,ARG,"Buenos Aires D.f., Buenos Aires provinces",,,,Km2,Flood,--,--,3,5203,0,,2014-0442
15/02/2015,24/02/2015,Argentina,ARG,"Colon, Cruz del Eje, Punilla districts (Cordoba province)",,,,Kph,Storm,"Convective storm",Flood,8,4500,17200,,2015-0044
04/03/2015,04/03/2015,Argentina,ARG,"Cordoba, San Luis, Santiago del Estero, Catamarca, Santa Fe, Chaco, Corrientes, Salta, Tucuman provinces",,,,Km2,Flood,"Riverine flood",--,2,15000,0,,2015-0070
24/04/2015,24/04/2015,Argentina,ARG,"San Carlos de Bariloche town (Bariloche district, Rio Negro province)",,,,,"Volcanic activity","Ash fall",--,0,0,0,Calbuco,2015-0142
05/08/2015,12/08/2015,Argentina,ARG,"Santos Lugares municipality (Tres de Febrero district, Buenos Aires district), Mar del Plata city (General Pueyrredon district, Buenos Aires district) Lujan, San Antonio de Areco, Campana, Salto, Chacabuco, Chivilcoy, Pilar, Quilmes, La Plata, Berisso, Zarate, Mercedes, San Andres de Giles, Pergamino, Junin, Pila, Arrecifes districts (Buenos Aires province), Venado Tuerto city (General Lopez district, Santa Fe province)",-35.108,-59.81,133853,Km2,Flood,"Riverine flood",--,3,50000,0,,2015-0349
20/12/2015,11/01/2016,Argentina,ARG,"Concordia city (Condordia district, Entre Rios province), Hernandarias city (Paraná district, Entre Rios proince), Gualeguaychú, Colón districts (Entre Rios province), Paso de la Patria, Santa Ana cities (San Cosme district, Corrientes province), Perugorria city (Curuzu Cuatia district, Corrientes province), Cruz de los Milagros, Algarrobo, San José, Santa Lucia cities (Lavalle district, Corrientes province), Esquina, Goya, Paso de los Libres districts (Corrientes province)",,,,Km2,Flood,"Riverine flood",--,6,76133,0,,2015-0551
04/04/2016,15/04/2016,Argentina,ARG,"Entre Rios, Corrientes, Santa Fe, Chaco, Formosa, Santiago del Estero, Buenos Aires, Cardoba provinces",,,,Km2,Flood,"Riverine flood",--,0,72119,1000000,,2016-0127
25/12/2016,26/12/2016,Argentina,ARG,"Pergamino, Ramallo, Colón, Arrecifes, Rojas, Salto, San Nicolás, Florentino Ameghino, General Villegas, Baradero, San Antonio de Areco (Buenos Aires); Jovita (General Roca), Villa Dolores (San Javier), La Cumbre, La Falda, Villa Giardini (Punilla), Rio Ceballos, Salsipuedes, Agua de Oro, Jesús María, Colonia Caroya (Colon) (Córdoba); Maria Teresa (General Lopez), Allvarez (Rosario) (Santa Fe) ; La Paz, Parana (Entre Rios)",,,,Km2,Flood,"Riverine flood",Storm,0,13650,2000,,2016-0519
10/01/2017,10/01/2017,Argentina,ARG,"Jujuy Province; Volcán, Bárcenas, Purmamarca (Tumbaya department); León (Dr Manuel Belgrano), Santa Barbara, San Martín (Ledesma), Tumbaya, Humahuaca",,,,,Landslide,Landslide,--,0,2666,0,,2017-0031
27/03/2017,07/04/2017,Argentina,ARG,"Comodoro Rivadavia (Escalante - Patagonia); Santa Rosa (Canuelas-Buenos Aires); Jujuy, Salta, Tucumán, Santiago del Estero, Catamarca, San Juan, Mendoza, Córdoba, Formosa, Misiones, Santa Fe, La Pampa, Chubut, Santa Cruz provinces",,,,Km2,Flood,--,--,0,39777,0,,2017-0104
29/05/2017,14/06/2017,Argentina,ARG,"Entre Rios, Corrientes",,,,Km2,Flood,"Riverine flood",--,0,3000,0,,2017-0195
05/04/2017,21/04/2017,Argentina,ARG,"Southern East Coast; Chubut province. Comodoro Rivadavia, Caleta Cordova and Laprida",-45.953,-67.939,27377.03,Km2,Flood,--,--,1,9000,0,,2017-0221
31/01/2018,21/02/2018,Argentina,ARG,"Salta Province",-244.84,-632.465,234622.64,Km2,Flood,--,--,0,17000,0,,2018-0038
20/01/2018,20/01/2018,Argentina,ARG,"Santa Mónica, Tiro Federal, Ginés Benítez, Monseñor de Carlo, Santa Elena, Hipólito Yrigoyen, Sáenz Peña, Milenium, San José, Piñeiro, Nala, Pablo VI, Quinta Ocho (Chaco)",,,,Km2,Flood,--,--,0,45000,0,,2018-0074
26/07/1926,26/07/1926,"Bahamas (the)",BHS,Nassau,,,,Kph,Storm,"Tropical cyclone",--,0,0,0,,1926-0009
26/09/1929,26/09/1929,"Bahamas (the)",BHS,Nassau,,,,Kph,Storm,"Tropical cyclone",--,0,0,0,,1929-0003
29/09/1935,29/09/1935,"Bahamas (the)",BHS,Bimini,,,,Kph,Storm,"Tropical cyclone",--,14,0,0,,1935-0009
14/09/1945,14/09/1945,"Bahamas (the)",BHS,,,,,Kph,Storm,"Tropical cyclone",--,22,0,0,,1945-0004
08/10/1963,08/10/1963,"Bahamas (the)",BHS,,,,,Kph,Storm,"Tropical cyclone",--,0,0,1500,Flora,1963-0031
09/09/1965,09/09/1965,"Bahamas (the)",BHS,"Eleuthera, Abaco, Andr",,,,Kph,Storm,"Tropical cyclone",--,0,1200,700,Betsy,1965-0054
03/10/1966,03/10/1966,"Bahamas (the)",BHS,"Nassau, Bimini",,,,Kph,Storm,"Tropical cyclone",--,5,3,15500,Inez,1966-0078
/09/1966,/09/1966,"Bahamas (the)",BHS,,,,,Kph,Storm,"Tropical cyclone",--,0,0,0,Inez,1966-0132
/06/1988,/06/1988,"Bahamas (the)",BHS,,,,,Km2,Flood,--,--,0,0,0,,1988-0249
27/07/1990,27/07/1990,"Bahamas (the)",BHS,,,,113,Kph,Storm,"Tropical cyclone",--,0,0,0,Arthur,1990-0042
23/08/1992,23/08/1992,"Bahamas (the)",BHS,"Eleuthera, Bimini, Berry Islands",,,241,Kph,Storm,"Tropical cyclone",--,4,1700,250000,Andrew,1992-0065
31/07/1995,06/08/1995,"Bahamas (the)",BHS,"Abaco, Grand Bahma, Mayaguana, Exuma",,,,Kph,Storm,"Tropical cyclone",--,0,0,400,Erin,1995-0404
07/09/1999,17/09/1999,"Bahamas (the)",BHS,"Grand Bahama Isl.",,,,Kph,Storm,"Tropical cyclone",--,1,0,450000,Floyd,1999-0327
